"Latest: Time (s)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: GateState 2","Latest: Distance 2 (m)"
1.095865,,,1,0
1.100966,,,0,
1.10598,,,1,0.01
1.111216,,,0,
1.116241,,,1,0.02
1.121415,,,0,
1.126442,,,1,0.03
1.131652,,,0,
1.136746,,,1,0.04
1.141967,,,0,
1.147003,,,1,0.05
1.152248,,,0,
1.157397,,,1,0.06
1.162666,,,0,
1.167887,,,1,0.07
1.173229,,,0,
1.178454,,,1,0.08
1.183799,,,0,
1.189119,,,1,0.09
1.194442,,,0,
1.199695,,,1,0.1
1.205082,,,0,
1.210343,,,1,0.11
1.215703,,,0,
1.221032,,,1,0.12
1.226404,,,0,
2.89502,1,0,,
2.905072,0,,,
2.913351,1,0.01,,
2.923516,0,,,
2.931766,1,0.02,,
2.941915,0,,,
2.950226,1,0.03,,
2.960337,0,,,
2.968704,1,0.04,,
2.978845,0,,,
2.987129,1,0.05,,
2.997405,0,,,
3.005699,1,0.06,,
3.015825,0,,,
3.024209,1,0.07,,
3.034443,0,,,
3.042764,1,0.08,,
3.052891,0,,,
3.061388,1,0.09,,
3.071548,0,,,
3.079916,1,0.1,,
3.090144,0,,,
3.098539,1,0.11,,
3.108704,0,,,
3.117194,1,0.12,,
3.127456,0,,,
